"State Vector Calculation"
"Calculation Inputs"
"Calculation type","State Vector"
"Target type","Object"
"Target","SUN"
"Observer type","Object"
"Observer","EARTH BARYCENTER"
"Reference frame","J2000"
"Light propagation","No correction"
"Time system","UTC"
"Time format","Calendar date and time"
"Time range","1/1/2020 00:00 to 1/1/2030 00:00"
"Step","1 days"
"State representation","Rectangular"
"State Vector Results"
"UTC calendar date","Distance (km)","Speed (km/s)","X (km)","Y (km)","Z (km)","dX/dt (km/s)","dY/dt (km/s)","dZ/dt (km/s)","Time at Target","Light Time (s)"
"2020-01-01 00:00:00.000000 UTC",147096566.95172974,30.28713458,24882295.51879283,-133016231.05778010,-57662411.10015626,29.84582651,4.72646205,2.04883321,"2020-01-01 00:00:00.000000 UTC",490.66133262
"2020-01-02 00:00:00.000000 UTC",147094480.91651216,30.28755836,27456968.77525017,-132587184.56775549,-57476427.08249213,29.75154480,5.20491543,2.25624218,"2020-01-02 00:00:00.000000 UTC",490.65437436
"2020-01-03 00:00:00.000000 UTC",147093162.00928304,30.28782665,30023095.64755734,-132116867.85244156,-57272552.47050986,29.64799882,5.68176530,2.46295605,"2020-01-03 00:00:00.000000 UTC",490.64997495
"2020-01-04 00:00:00.000000 UTC",147092610.66235217,30.28793937,32579877.11935983,-131605426.19839221,-57050850.24338616,29.53522192,6.15685566,2.66890721,"2020-01-04 00:00:00.000000 UTC",490.64813586
"2020-01-05 00:00:00.000000 UTC",147092827.05504130,30.28789646,35126517.19873495,-131053018.34175569,-56811389.21067429,29.41325075,6.63003118,2.87402831,"2020-01-05 00:00:00.000000 UTC",490.64885767
"2020-01-06 00:00:00.000000 UTC",147093811.11368212,30.28769796,37662223.20378069,-130459816.41198350,-56554243.98794274,29.28212528,7.10113719,3.07825231,"2020-01-06 00:00:00.000000 UTC",490.65214013
"2020-01-07 00:00:00.000000 UTC",147095562.51192810,30.28734394,40186206.04683656,-129826005.87008254,-56279494.97004250,29.14188874,7.57001977,3.28151248,"2020-01-07 00:00:00.000000 UTC",490.65798217
"2020-01-08 00:00:00.000000 UTC",147098080.67135280,30.28683453,42697680.51714665,-129151785.44143450,-55987228.30200790,28.99258763,8.03652579,3.48374244,"2020-01-08 00:00:00.000000 UTC",490.66638185
"2020-01-09 00:00:00.000000 UTC",147101364.76227930,30.28616993,45195865.56179494,-128437367.04318547,-55677535.84758722,28.83427171,8.50050302,3.68487620,"2020-01-09 00:00:00.000000 UTC",490.67733639
"2020-01-10 00:00:00.000000 UTC",147105413.70475504,30.28535037,47679984.56466630,-127682975.70620756,-55350515.15540142,28.66699391,8.96180016,3.88484816,"2020-01-10 00:00:00.000000 UTC",490.69084221
"2020-01-11 00:00:00.000000 UTC",147110226.16956204,30.28437615,50149265.62333466,-126888849.49157839,-55006269.42270751,28.49081040,9.42026689,4.08359316,"2020-01-11 00:00:00.000000 UTC",490.70689487
"2020-01-12 00:00:00.000000 UTC",147115800.57914490,30.28324759,52602941.82365063,-126055239.40155157,-54644907.45676008,28.30578048,9.87575398,4.28104652,"2020-01-12 00:00:00.000000 UTC",490.72548910
"2020-01-13 00:00:00.000000 UTC",147122135.10835993,30.28196509,55040251.51189554,-125182409.28498833,-54266543.63376628,28.11196662,10.32811329,4.47714401,"2020-01-13 00:00:00.000000 UTC",490.74661881
"2020-01-14 00:00:00.000000 UTC",147129227.68500072,30.28052908,57460438.56448933,-124270635.73721921,-53871297.85543229,27.90943436,10.77719790,4.67182195,"2020-01-14 00:00:00.000000 UTC",490.77027710
"2020-01-15 00:00:00.000000 UTC",147137075.99013250,30.27894004,59862752.65507310,-123320207.99443226,-53459295.50315391,27.69825234,11.22286215,4.86501719,"2020-01-15 00:00:00.000000 UTC",490.79645623
"2020-01-16 00:00:00.000000 UTC",147145677.45834550,30.27719850,62246449.51902046,-122331427.82267260,-53030667.38989551,27.47849224,11.66496166,5.05666715,"2020-01-16 00:00:00.000000 UTC",490.82514764
"2020-01-17 00:00:00.000000 UTC",147155029.27808318,30.27530506,64610791.21525787,-121304609.40164535,-52585549.70984069,27.25022875,12.10335347,5.24670984,"2020-01-17 00:00:00.000000 UTC",490.85634195
"2020-01-18 00:00:00.000000 UTC",147165128.39221007,30.27326035,66955046.38531112,-120240079.20351654,-52124083.98589449,27.01353955,12.53789600,5.43508391,"2020-01-18 00:00:00.000000 UTC",490.89002897
"2020-01-19 00:00:00.000000 UTC",147175971.49894077,30.27106508,69278490.50948794,-119138175.86687532,-51646417.01509705,26.76850526,12.96844919,5.62172864,"2020-01-19 00:00:00.000000 UTC",490.92619768
"2020-01-20 00:00:00.000000 UTC",147187555.05318984,30.26872001,71580406.15994816,-117999250.06604406,-51152700.81201821,26.51520941,13.39487453,5.80658397,"2020-01-20 00:00:00.000000 UTC",490.96483626
"2020-01-21 00:00:00.000000 UTC",147199875.26832876,30.26622595,73860083.25056411,-116823664.37579525,-50643092.55014783,26.25373842,13.81703506,5.98959054,"2020-01-21 00:00:00.000000 UTC",491.00593207
